P_sub1_max: 2157000.0 W, P_sub2_max: 2157000 W
Braking Efficiency: 0.0%
Time(s), Velocity(km/h), Power (MW)
00:00, 0.000, 0.000000
00:01, 2.765, 0.277158
00:02, 5.530, 0.554338
00:03, 8.294, 0.831560
00:04, 11.059, 1.108844
00:05, 13.807, 1.376885
00:06, 16.466, 1.592118
00:07, 19.035, 1.783717
00:08, 21.516, 1.953034
00:09, 23.911, 2.101428
00:10, 26.145, 2.157000
00:11, 28.201, 2.157000
00:12, 30.112, 2.157000
00:13, 31.902, 2.157000
00:14, 33.592, 2.157000
00:15, 35.194, 2.157000
00:16, 36.720, 2.157000
00:17, 38.178, 2.157000
00:18, 39.577, 2.157000
00:19, 40.922, 2.157000
00:20, 42.219, 2.157000
00:21, 43.471, 2.157000
00:22, 44.683, 2.157000
00:23, 45.857, 2.157000
00:24, 46.997, 2.157000
00:25, 48.106, 2.157000
00:26, 49.184, 2.157000
00:27, 50.235, 2.157000
00:28, 51.260, 2.157000
00:29, 52.260, 2.157000
00:30, 53.237, 2.157000
00:31, 54.193, 2.157000
00:32, 55.128, 2.157000
00:33, 56.043, 2.157000
00:34, 56.940, 2.157000
00:35, 57.820, 2.157000
00:36, 58.683, 2.157000
00:37, 59.529, 2.157000
00:38, 60.361, 2.157000
00:39, 61.177, 2.157000
00:40, 61.980, 2.157000
00:41, 62.769, 2.157000
00:42, 63.528, 2.119420
00:43, 64.254, 2.072176
00:44, 64.947, 2.025280
00:45, 65.609, 1.978867
00:46, 66.243, 1.933055
00:47, 66.847, 1.887948
00:48, 67.425, 1.843631
00:49, 67.977, 1.800180
00:50, 68.504, 1.757656
00:51, 69.007, 1.716109
00:52, 69.487, 1.675580
00:53, 69.946, 1.636102
00:54, 70.384, 1.597698
00:55, 70.802, 1.560384
00:56, 71.201, 1.524173
00:57, 71.581, 1.489068
00:58, 71.945, 1.455069
00:59, 72.291, 1.422173
01:00, 72.622, 1.390370
01:01, 72.937, 1.359650
01:02, 73.238, 1.329998
01:03, 73.526, 1.301397
01:04, 73.799, 1.273828
01:05, 74.061, 1.247270
01:06, 74.310, 1.221703
01:07, 74.548, 1.197101
01:08, 74.774, 1.173442
01:09, 74.990, 1.150700
01:10, 75.196, 1.128849
01:11, 75.393, 1.107865
01:12, 75.580, 1.087720
01:13, 75.759, 1.068389
01:14, 75.929, 1.049846
01:15, 76.092, 1.032065
01:16, 76.247, 1.015020
01:17, 76.394, 0.998685
01:18, 76.535, 0.983036
01:19, 76.669, 0.968048
01:20, 76.797, 0.953697
01:21, 76.919, 0.939959
01:22, 77.035, 0.926811
01:23, 77.146, 0.914231
01:24, 77.251, 0.902196
01:25, 77.352, 0.890686
01:26, 77.448, 0.879679
01:27, 77.539, 0.869156
01:28, 77.627, 0.859097
01:29, 77.710, 0.849482
01:30, 77.789, 0.840295
01:31, 77.864, 0.831516
01:32, 77.936, 0.823130
01:33, 78.005, 0.815119
01:34, 78.070, 0.807468
01:35, 78.132, 0.800162
01:36, 78.191, 0.793185
01:37, 78.248, 0.786523
01:38, 78.302, 0.780164
01:39, 78.353, 0.774094
01:40, 78.402, 0.768300
01:41, 78.449, 0.762770
01:42, 78.493, 0.757492
01:43, 78.535, 0.752456
01:44, 78.576, 0.747651
01:45, 78.614, 0.743066
01:46, 78.651, 0.738692
01:47, 78.685, 0.734519
01:48, 78.719, 0.730539
01:49, 78.750, 0.726742
01:50, 78.781, 0.723121
01:51, 78.809, 0.719666
01:52, 78.837, 0.716372
01:53, 78.863, 0.713230
01:54, 78.888, 0.710234
01:55, 78.911, 0.707377
01:56, 78.934, 0.704653
01:57, 78.955, 0.702055
01:58, 78.976, 0.699578
01:59, 78.996, 0.697217
02:00, 79.014, 0.694965
02:01, 79.032, 0.692818
02:02, 79.049, 0.690771
02:03, 79.065, 0.688820
02:04, 79.080, 0.686960
02:05, 79.095, 0.685187
02:06, 79.109, 0.683496
02:07, 79.122, 0.681885
02:08, 79.135, 0.680348
02:09, 79.147, 0.678884
02:10, 79.158, 0.677488
02:11, 79.169, 0.676157
02:12, 79.179, 0.674888
02:13, 79.189, 0.673679
02:14, 79.199, 0.672527
02:15, 79.208, 0.671428
02:16, 79.216, 0.670381
02:17, 79.225, 0.669382
02:18, 79.232, 0.668430
02:19, 79.240, 0.667523
02:20, 79.247, 0.666658
02:21, 79.253, 0.665834
02:22, 79.260, 0.665048
02:23, 79.266, 0.664298
02:24, 79.272, 0.663584
02:25, 79.277, 0.662903
02:26, 79.283, 0.662254
