P_sub1_max: 1393000.0 W, P_sub2_max: 1393000 W
Braking Efficiency: 0.0%
Time(s), Velocity(km/h), Power (MW)
03:28, 83.708, 0.000000
03:29, 83.566, 0.000000
03:30, 83.424, 0.000000
03:31, 83.283, 0.000000
03:32, 83.141, 0.000000
03:33, 83.000, 0.000000
03:34, 82.860, 0.000000
03:35, 82.719, 0.000000
03:36, 82.579, 0.000000
03:37, 82.439, 0.000000
03:38, 82.299, 0.000000
03:39, 82.159, 0.000000
03:40, 82.020, 0.000000
03:41, 81.881, 0.000000
03:42, 81.742, 0.000000
03:43, 81.603, 0.000000
03:44, 81.465, 0.000000
03:45, 81.327, 0.000000
03:46, 81.189, 0.000000
03:47, 81.051, 0.000000
03:48, 80.913, 0.000000
03:49, 80.776, 0.000000
03:50, 80.639, 0.000000
03:51, 80.502, 0.000000
03:52, 80.366, 0.000000
03:53, 80.229, 0.000000
03:54, 80.093, 0.000000
03:55, 79.957, 0.000000
03:56, 79.821, 0.000000
03:57, 79.686, 0.000000
03:58, 79.551, 0.000000
03:59, 79.416, 0.000000
04:00, 79.281, 0.000000
04:01, 79.146, 0.000000
04:02, 79.012, 0.000000
04:03, 78.878, 0.000000
04:04, 78.744, 0.000000
04:05, 78.610, 0.000000
04:06, 78.476, 0.000000
04:07, 78.343, 0.000000
04:08, 78.210, 0.000000
04:09, 78.077, 0.000000
04:10, 77.944, 0.000000
04:11, 77.812, 0.000000
04:12, 77.679, 0.000000
04:13, 77.547, 0.000000
04:14, 77.416, 0.000000
04:15, 77.284, 0.000000
04:16, 77.152, 0.000000
04:17, 77.021, 0.000000
04:18, 76.890, 0.000000
04:19, 76.759, 0.000000
04:20, 76.629, 0.000000
04:21, 76.498, 0.000000
04:22, 76.368, 0.000000
04:23, 76.238, 0.000000
04:24, 76.108, 0.000000
04:25, 75.979, 0.000000
04:26, 75.849, 0.000000
04:27, 75.720, 0.000000
04:28, 75.591, 0.000000
04:29, 75.462, 0.000000
04:30, 75.334, 0.000000
04:31, 75.205, 0.000000
04:32, 75.077, 0.000000
04:33, 74.949, 0.000000
04:34, 74.821, 0.000000
04:35, 74.694, 0.000000
04:36, 74.566, 0.000000
04:37, 74.439, 0.000000
04:38, 74.312, 0.000000
04:39, 74.185, 0.000000
04:40, 74.059, 0.000000
04:41, 73.932, 0.000000
04:42, 73.806, 0.000000
04:43, 73.680, 0.000000
04:44, 73.554, 0.000000
04:45, 73.428, 0.000000
04:46, 73.303, 0.000000
04:47, 73.177, 0.000000
04:48, 73.052, 0.000000
04:49, 72.927, 0.000000
04:50, 72.802, -0.000000
04:51, 72.678, -0.000000
04:52, 72.553, -0.000000
04:53, 72.429, -0.000000
04:54, 72.305, -0.000000
04:55, 72.181, -0.000000
04:56, 72.058, -0.000000
04:57, 71.934, -0.000000
04:58, 71.811, -0.000000
04:59, 71.688, -0.000000
05:00, 71.565, -0.000000
05:01, 71.442, -0.000000
05:02, 71.319, -0.000000
05:03, 71.197, -0.000000
05:04, 71.075, -0.000000
05:05, 70.953, -0.000000
05:06, 70.831, -0.000000
05:07, 70.709, -0.000000
05:08, 70.588, -0.000000
05:09, 70.466, -0.000000
05:10, 70.345, -0.000000
05:11, 70.224, -0.000000
05:12, 70.103, -0.000000
05:13, 69.983, -0.000000
05:14, 69.862, -0.000000
05:15, 69.742, -0.000000
05:16, 69.622, -0.000000
05:17, 69.502, -0.000000
05:18, 69.382, -0.000000
05:19, 69.262, -0.000000
05:20, 69.143, -0.000000
05:21, 69.024, -0.000000
05:22, 68.904, -0.000000
05:23, 68.785, -0.000000
05:24, 68.667, -0.000000
05:25, 68.548, -0.000000
05:26, 68.430, -0.000000
05:27, 68.311, -0.000000
05:28, 68.193, -0.000000
05:29, 68.075, -0.000000
05:30, 67.957, -0.000000
05:31, 67.840, -0.000000
05:32, 67.722, -0.000000
05:33, 67.605, -0.000000
05:34, 67.488, -0.000000
05:35, 67.371, -0.000000
05:36, 67.254, -0.000000
05:37, 67.137, -0.000000
05:38, 67.021, -0.000000
05:39, 66.904, -0.000000
05:40, 66.788, -0.000000
05:41, 66.672, -0.000000
05:42, 66.556, -0.000000
05:43, 66.441, -0.000000
05:44, 66.325, -0.000000
05:45, 66.210, -0.000000
05:46, 66.094, -0.000000
05:47, 65.979, -0.000000
05:48, 65.864, -0.000000
05:49, 65.750, -0.000000
05:50, 65.635, -0.000000
05:51, 65.520, -0.000000
05:52, 65.406, -0.000000
05:53, 65.292, -0.000000
05:54, 65.178, -0.000000
05:55, 65.064, -0.000000
05:56, 64.950, -0.000000
05:57, 64.837, -0.000000
05:58, 64.723, -0.000000
05:59, 64.610, -0.000000
06:00, 64.497, -0.000000
06:01, 64.384, -0.000000
06:02, 64.271, -0.000000
06:03, 64.159, -0.000000
06:04, 64.046, -0.000000
06:05, 63.934, -0.000000
06:06, 63.821, -0.000000
06:07, 63.709, -0.000000
06:08, 63.597, -0.000000
06:09, 63.486, -0.000000
06:10, 63.374, -0.000000
06:11, 63.262, -0.000000
06:12, 63.151, -0.000000
06:13, 63.040, -0.000000
06:14, 62.549, -0.000000
06:15, 60.841, -0.000000
06:16, 59.091, -0.000000
06:17, 57.294, -0.000000
06:18, 55.447, -0.000000
06:19, 53.543, -0.000000
06:20, 51.575, -0.000000
06:21, 49.535, -0.000000
06:22, 47.414, -0.000000
06:23, 45.199, -0.000000
06:24, 42.874, -0.000000
06:25, 40.418, -0.000000
06:26, 37.804, -0.000000
06:27, 34.992, -0.000000
06:28, 32.076, -0.000000
06:29, 29.160, -0.000000
06:30, 26.244, -0.000000
06:31, 23.328, -0.000000
06:32, 20.412, -0.000000
06:33, 17.496, -0.000000
06:34, 14.580, -0.000000
06:35, 11.664, -0.000000
06:36, 8.748, -0.000000
06:37, 5.832, -0.000000
06:38, 2.916, -0.000000
06:39, 0.000, 0.000000
