P_sub1_max: 1393000.0 W, P_sub2_max: 1393000 W
Braking Efficiency: 0.0%
Time(s), Velocity(km/h), Power (MW)
00:00, 0.000, 0.000000
00:01, 2.916, 0.127844
00:02, 5.832, 0.255711
00:03, 8.748, 0.383622
00:04, 11.664, 0.511600
00:05, 14.580, 0.639668
00:06, 17.496, 0.767847
00:07, 20.412, 0.896160
00:08, 23.328, 1.024629
00:09, 26.244, 1.153277
00:10, 29.160, 1.282125
00:11, 32.041, 1.393000
00:12, 34.693, 1.393000
00:13, 37.162, 1.393000
00:14, 39.479, 1.393000
00:15, 41.668, 1.393000
00:16, 43.747, 1.393000
00:17, 45.730, 1.393000
00:18, 47.629, 1.393000
00:19, 49.452, 1.393000
00:20, 51.208, 1.393000
00:21, 52.903, 1.393000
00:22, 54.541, 1.393000
00:23, 56.129, 1.393000
00:24, 57.670, 1.393000
00:25, 59.168, 1.393000
00:26, 60.625, 1.393000
00:27, 62.044, 1.393000
00:28, 63.429, 1.393000
00:29, 64.780, 1.393000
00:30, 66.101, 1.393000
00:31, 67.392, 1.393000
00:32, 68.655, 1.393000
00:33, 69.892, 1.393000
00:34, 71.105, 1.393000
00:35, 72.293, 1.393000
00:36, 73.459, 1.393000
00:37, 74.604, 1.393000
00:38, 75.728, 1.393000
00:39, 76.832, 1.393000
00:40, 77.917, 1.393000
00:41, 78.984, 1.393000
00:42, 80.034, 1.393000
00:43, 81.067, 1.393000
00:44, 82.083, 1.393000
00:45, 83.084, 1.393000
00:46, 84.070, 1.393000
00:47, 85.042, 1.393000
00:48, 85.999, 1.393000
00:49, 86.943, 1.393000
00:50, 87.873, 1.393000
00:51, 88.791, 1.393000
00:52, 89.696, 1.393000
00:53, 90.589, 1.393000
00:54, 91.470, 1.393000
00:55, 92.340, 1.393000
00:56, 93.199, 1.393000
00:57, 94.047, 1.393000
00:58, 94.885, 1.393000
00:59, 95.712, 1.393000
01:00, 96.529, 1.393000
01:01, 97.337, 1.393000
01:02, 98.135, 1.393000
01:03, 98.923, 1.393000
01:04, 99.703, 1.393000
01:05, 100.474, 1.393000
01:06, 101.236, 1.393000
01:07, 101.989, 1.393000
01:08, 102.734, 1.393000
01:09, 103.413, 1.303132
01:10, 104.007, 1.184254
01:11, 104.522, 1.068664
01:12, 104.959, 0.956000
01:13, 105.322, 0.845869
01:14, 105.614, 0.737849
01:15, 105.835, 0.631498
01:16, 105.988, 0.526362
01:17, 106.073, 0.421970
01:18, 106.092, 0.317848
01:19, 106.043, 0.213517
01:20, 105.928, 0.108497
01:21, 105.745, 0.002311
01:22, 105.560, 0.000000
01:23, 105.376, 0.000000
01:24, 105.192, 0.000000
01:25, 105.009, 0.000000
01:26, 104.826, 0.000000
01:27, 104.644, 0.000000
01:28, 104.461, 0.000000
01:29, 104.280, 0.000000
01:30, 104.098, 0.000000
01:31, 103.917, 0.000000
01:32, 103.737, 0.000000
01:33, 103.557, 0.000000
01:34, 103.377, 0.000000
01:35, 103.197, 0.000000
01:36, 103.018, 0.000000
01:37, 102.840, 0.000000
01:38, 102.661, 0.000000
01:39, 102.483, 0.000000
01:40, 102.306, 0.000000
01:41, 102.129, 0.000000
01:42, 101.952, 0.000000
01:43, 101.775, 0.000000
01:44, 101.599, 0.000000
01:45, 101.424, 0.000000
01:46, 101.248, 0.000000
01:47, 101.073, 0.000000
01:48, 100.899, 0.000000
01:49, 100.724, 0.000000
01:50, 100.550, 0.000000
01:51, 100.377, 0.000000
01:52, 100.204, 0.000000
01:53, 100.031, 0.000000
01:54, 99.858, 0.000000
01:55, 99.686, 0.000000
01:56, 99.514, 0.000000
01:57, 99.343, 0.000000
01:58, 99.172, 0.000000
01:59, 99.001, 0.000000
02:00, 98.831, 0.000000
02:01, 98.660, 0.000000
02:02, 98.491, 0.000000
02:03, 98.321, 0.000000
02:04, 98.152, 0.000000
02:05, 97.984, 0.000000
02:06, 97.815, 0.000000
02:07, 97.647, 0.000000
02:08, 97.479, 0.000000
02:09, 97.312, 0.000000
02:10, 97.145, 0.000000
02:11, 96.978, 0.000000
02:12, 96.812, 0.000000
02:13, 96.646, 0.000000
02:14, 96.480, 0.000000
02:15, 96.315, 0.000000
02:16, 96.150, 0.000000
02:17, 95.985, 0.000000
02:18, 95.820, 0.000000
02:19, 95.656, 0.000000
02:20, 95.493, 0.000000
02:21, 95.329, 0.000000
02:22, 95.166, 0.000000
02:23, 95.003, 0.000000
02:24, 94.841, 0.000000
02:25, 94.678, 0.000000
02:26, 94.516, 0.000000
02:27, 94.355, 0.000000
02:28, 94.194, 0.000000
02:29, 94.033, 0.000000
02:30, 93.872, 0.000000
02:31, 93.712, 0.000000
02:32, 93.552, 0.000000
02:33, 93.392, 0.000000
02:34, 93.232, 0.000000
02:35, 93.073, 0.000000
02:36, 92.915, 0.000000
02:37, 92.756, 0.000000
02:38, 92.598, 0.000000
02:39, 92.440, 0.000000
02:40, 92.282, 0.000000
02:41, 92.125, 0.000000
02:42, 91.968, 0.000000
02:43, 91.811, 0.000000
02:44, 91.655, 0.000000
02:45, 91.498, 0.000000
02:46, 91.343, 0.000000
02:47, 91.187, 0.000000
02:48, 91.032, 0.000000
02:49, 90.877, 0.000000
02:50, 90.722, 0.000000
02:51, 90.568, 0.000000
02:52, 90.413, 0.000000
02:53, 90.260, 0.000000
02:54, 90.106, 0.000000
02:55, 89.953, 0.000000
02:56, 89.800, 0.000000
02:57, 89.647, 0.000000
02:58, 89.495, 0.000000
