Order;Distance;Speed;Origen;Timingpoint;Brakingstatus;Action
1;10361;140;None;Rtd;None;Stop
2;14797;130;Sign;;None;None
3;15557;130;Sign;;None;None
4;24038;80;Sign;;None;None
5;24361;0;Sign;;None;None
