P_sub1_max: 1393000.0 W, P_sub2_max: 1393000 W
Braking Efficiency: 0.0%
Time(s), Velocity(km/h), Power (MW)
03:51, 7.359, 0.007828
03:52, 7.360, 0.007826
03:53, 7.362, 0.007824
03:54, 7.363, 0.007822
03:55, 7.364, 0.007820
03:56, 7.365, 0.007818
03:57, 7.366, 0.007816
03:58, 7.367, 0.007814
03:59, 7.368, 0.007812
04:00, 7.369, 0.007810
04:01, 7.370, 0.007809
04:02, 7.371, 0.007807
04:03, 7.372, 0.007805
04:04, 7.373, 0.007803
04:05, 7.374, 0.007801
04:06, 7.375, 0.007800
04:07, 7.376, 0.007798
04:08, 7.377, 0.007796
04:09, 7.378, 0.007795
04:10, 7.378, 0.007793
04:11, 7.379, 0.007791
04:12, 7.380, 0.007790
04:13, 7.381, 0.007788
04:14, 7.381, 0.007786
04:15, 7.382, 0.007785
04:16, 7.383, 0.007783
04:17, 7.383, 0.007781
04:18, 7.384, 0.007780
04:19, 7.384, 0.007778
04:20, 7.385, 0.007777
04:21, 7.385, 0.007775
04:22, 7.386, 0.007774
04:23, 7.387, 0.007772
04:24, 7.387, 0.007770
04:25, 7.388, 0.007769
04:26, 7.388, 0.007767
04:27, 7.388, 0.007766
04:28, 7.389, 0.007764
04:29, 7.389, 0.007763
04:30, 7.390, 0.007761
04:31, 7.390, 0.007760
04:32, 7.390, 0.007758
04:33, 7.391, 0.007757
04:34, 7.391, 0.007755
04:35, 7.391, 0.007753
04:36, 7.392, 0.007752
04:37, 7.392, 0.007750
04:38, 7.392, 0.007749
04:39, 7.392, 0.007747
04:40, 7.392, 0.007746
04:41, 7.393, 0.007744
04:42, 7.393, 0.007742
04:43, 7.393, 0.007741
04:44, 7.393, 0.007739
04:45, 7.393, 0.007738
04:46, 7.393, 0.007736
04:47, 7.393, 0.007734
04:48, 7.394, 0.007733
04:49, 7.394, 0.007731
04:50, 7.394, 0.007729
04:51, 7.394, 0.007728
04:52, 7.394, 0.007726
04:53, 7.394, 0.007724
04:54, 7.394, 0.007722
04:55, 7.394, 0.007721
04:56, 7.394, 0.007719
04:57, 7.394, 0.007717
04:58, 7.393, 0.007715
04:59, 7.393, 0.007713
05:00, 7.393, 0.007711
05:01, 7.393, 0.007710
05:02, 7.393, 0.007708
05:03, 7.393, 0.007706
05:04, 7.393, 0.007704
05:05, 7.392, 0.007702
05:06, 7.392, 0.007700
05:07, 7.392, 0.007698
05:08, 7.392, 0.007696
05:09, 7.391, 0.007694
05:10, 7.391, 0.007691
05:11, 7.391, 0.007689
05:12, 7.391, 0.007687
05:13, 7.390, 0.007685
05:14, 7.390, 0.007683
05:15, 7.390, 0.007680
05:16, 7.389, 0.007678
05:17, 7.389, 0.007676
05:18, 7.388, 0.007673
05:19, 7.388, 0.007671
05:20, 7.387, 0.007668
05:21, 7.387, 0.007666
05:22, 7.386, 0.007663
05:23, 7.386, 0.007660
05:24, 7.385, 0.007658
05:25, 7.385, 0.007655
05:26, 7.384, 0.007652
05:27, 7.384, 0.007649
05:28, 7.383, 0.007647
05:29, 7.382, 0.007644
05:30, 7.382, 0.007641
05:31, 7.381, 0.007638
05:32, 7.380, 0.007635
05:33, 7.380, 0.007631
05:34, 7.379, 0.007628
05:35, 7.378, 0.007625
05:36, 7.377, 0.007622
05:37, 7.377, 0.007618
05:38, 7.376, 0.007615
05:39, 7.375, 0.007611
05:40, 7.374, 0.007608
05:41, 7.373, 0.007604
05:42, 7.372, 0.007600
05:43, 7.371, 0.007597
05:44, 7.370, 0.007593
05:45, 7.369, 0.007589
05:46, 7.368, 0.007585
05:47, 7.367, 0.007581
05:48, 7.366, 0.007577
05:49, 7.365, 0.007572
05:50, 7.364, 0.007568
05:51, 7.363, 0.007564
05:52, 7.361, 0.007559
05:53, 7.360, 0.007555
05:54, 7.359, 0.007550
05:55, 7.358, 0.007545
05:56, 7.356, 0.007540
05:57, 7.355, 0.007535
05:58, 7.353, 0.007530
05:59, 7.352, 0.007525
06:00, 7.351, 0.007520
06:01, 7.349, 0.007514
06:02, 7.348, 0.007509
06:03, 7.346, 0.007503
06:04, 7.344, 0.007497
06:05, 7.343, 0.007492
06:06, 7.341, 0.007486
06:07, 7.339, 0.007480
06:08, 7.337, 0.007473
06:09, 7.336, 0.007467
06:10, 7.334, 0.007461
06:11, 7.332, 0.007454
06:12, 7.330, 0.007447
06:13, 7.328, 0.007440
06:14, 7.326, 0.007433
06:15, 7.324, 0.007426
06:16, 7.322, 0.007419
06:17, 7.320, 0.007412
06:18, 7.317, 0.007404
06:19, 7.315, 0.007396
06:20, 7.313, 0.007388
06:21, 7.310, 0.007380
06:22, 7.308, 0.007372
06:23, 7.305, 0.007364
06:24, 7.303, 0.007355
06:25, 7.300, 0.007346
06:26, 7.298, 0.007337
06:27, 7.295, 0.007328
06:28, 7.292, 0.007319
06:29, 7.289, 0.007309
06:30, 7.286, 0.007300
06:31, 7.283, 0.007290
06:32, 7.280, 0.007280
06:33, 7.277, 0.007269
06:34, 7.274, 0.007259
06:35, 7.271, 0.007248
06:36, 7.267, 0.007237
06:37, 7.264, 0.007226
06:38, 7.261, 0.007215
06:39, 7.257, 0.007203
06:40, 7.254, 0.007191
06:41, 7.250, 0.007179
06:42, 7.246, 0.007167
06:43, 7.242, 0.007154
06:44, 7.238, 0.007141
06:45, 7.234, 0.007128
06:46, 7.230, 0.007115
06:47, 7.226, 0.007101
06:48, 7.222, 0.007087
06:49, 7.217, 0.007073
06:50, 7.213, 0.007058
06:51, 7.208, 0.007043
06:52, 7.204, 0.007028
06:53, 7.199, 0.007013
06:54, 7.194, 0.006997
06:55, 7.189, 0.006981
06:56, 7.184, 0.006965
06:57, 7.179, 0.006948
06:58, 7.173, 0.006931
06:59, 7.168, 0.006914
07:00, 7.162, 0.006896
07:01, 7.157, 0.006878
07:02, 7.151, 0.006860
07:03, 7.145, 0.006841
07:04, 7.139, 0.006822
07:05, 7.133, 0.006802
07:06, 7.126, 0.006782
07:07, 7.120, 0.006762
07:08, 7.113, 0.006741
07:09, 7.107, 0.006720
07:10, 7.100, 0.006698
07:11, 7.093, 0.006676
07:12, 7.086, 0.006654
07:13, 7.078, 0.006631
07:14, 7.071, 0.006608
07:15, 7.063, 0.006584
07:16, 7.056, 0.006560
07:17, 7.048, 0.006535
07:18, 7.040, 0.006510
07:19, 7.031, 0.006485
07:20, 7.023, 0.006459
07:21, 7.014, 0.006432
07:22, 7.005, 0.006405
07:23, 6.996, 0.006377
07:24, 6.987, 0.006349
07:25, 6.978, 0.006320
07:26, 6.968, 0.006291
07:27, 6.958, 0.006261
07:28, 6.948, 0.006231
07:29, 6.938, 0.006200
07:30, 6.928, 0.006169
07:31, 6.917, 0.006137
07:32, 6.906, 0.006104
07:33, 6.895, 0.006071
07:34, 6.884, 0.006037
07:35, 6.872, 0.006003
07:36, 6.860, 0.005968
07:37, 6.848, 0.005932
07:38, 6.836, 0.005895
07:39, 6.823, 0.005858
07:40, 6.810, 0.005821
07:41, 6.797, 0.005782
07:42, 6.784, 0.005743
07:43, 6.770, 0.005704
07:44, 6.756, 0.005663
07:45, 6.742, 0.005622
07:46, 6.727, 0.005580
07:47, 6.712, 0.005538
07:48, 6.697, 0.005495
07:49, 6.682, 0.005451
07:50, 6.666, 0.005406
07:51, 6.650, 0.005360
07:52, 6.633, 0.005314
07:53, 6.616, 0.005267
07:54, 6.599, 0.005219
07:55, 6.582, 0.005171
07:56, 6.564, 0.005121
07:57, 6.546, 0.005071
07:58, 6.527, 0.005020
07:59, 6.508, 0.004969
08:00, 6.488, 0.004916
08:01, 6.469, 0.004863
08:02, 6.448, 0.004809
08:03, 6.428, 0.004754
08:04, 6.407, 0.004698
08:05, 6.385, 0.004641
08:06, 6.363, 0.004583
08:07, 6.341, 0.004525
08:08, 6.318, 0.004466
08:09, 6.295, 0.004406
08:10, 6.271, 0.004345
08:11, 6.247, 0.004283
08:12, 6.222, 0.004221
08:13, 6.196, 0.004157
08:14, 6.171, 0.004093
08:15, 6.144, 0.004028
08:16, 6.117, 0.003962
08:17, 6.090, 0.003895
08:18, 6.062, 0.003828
08:19, 6.033, 0.003759
08:20, 6.004, 0.003690
08:21, 5.975, 0.003620
08:22, 5.944, 0.003549
08:23, 5.913, 0.003478
08:24, 5.882, 0.003405
08:25, 5.850, 0.003332
08:26, 5.817, 0.003258
08:27, 5.784, 0.003184
08:28, 5.749, 0.003108
08:29, 5.715, 0.003032
08:30, 5.679, 0.002956
08:31, 5.643, 0.002878
08:32, 5.606, 0.002800
08:33, 5.568, 0.002721
08:34, 5.530, 0.002642
08:35, 5.491, 0.002562
08:36, 5.451, 0.002482
08:37, 5.410, 0.002401
08:38, 5.369, 0.002320
08:39, 5.327, 0.002238
08:40, 5.283, 0.002156
08:41, 5.240, 0.002073
08:42, 5.195, 0.001990
08:43, 5.149, 0.001907
08:44, 5.103, 0.001823
08:45, 5.055, 0.001740
08:46, 5.007, 0.001656
08:47, 4.958, 0.001572
08:48, 4.907, 0.001488
08:49, 4.856, 0.001404
08:50, 4.804, 0.001321
08:51, 4.751, 0.001237
08:52, 4.697, 0.001154
08:53, 4.642, 0.001071
08:54, 4.586, 0.000988
08:55, 4.528, 0.000906
08:56, 4.470, 0.000824
08:57, 4.411, 0.000743
08:58, 4.350, 0.000662
08:59, 4.289, 0.000583
09:00, 4.226, 0.000504
09:01, 4.162, 0.000426
09:02, 4.097, 0.000349
09:03, 4.031, 0.000273
09:04, 3.964, 0.000199
09:05, 3.895, 0.000126
09:06, 3.826, 0.000055
09:07, 3.755, 0.000000
09:08, 3.684, 0.000000
09:09, 3.613, 0.000000
09:10, 3.543, 0.000000
09:11, 3.472, 0.000000
09:12, 3.401, 0.000000
09:13, 3.330, 0.000000
09:14, 3.260, 0.000000
09:15, 3.189, 0.000000
09:16, 3.118, 0.000000
09:17, 3.048, 0.000000
09:18, 2.977, 0.000000
09:19, 2.906, 0.000000
09:20, 2.835, 0.000000
09:21, 2.765, 0.000000
09:22, 2.694, 0.000000
09:23, 2.623, 0.000000
09:24, 2.553, 0.000000
09:25, 2.482, 0.000000
09:26, 2.411, 0.000000
09:27, 2.341, 0.000000
09:28, 2.270, 0.000000
09:29, 2.199, 0.000000
09:30, 2.129, 0.000000
09:31, 2.058, 0.000000
09:32, 1.987, 0.000000
09:33, 1.917, 0.000000
09:34, 1.846, 0.000000
09:35, 1.775, 0.000000
09:36, 1.705, 0.000000
09:37, 1.634, 0.000000
09:38, 1.564, 0.000000
09:39, 1.493, 0.000000
09:40, 1.422, 0.000000
09:41, 1.352, 0.000000
09:42, 1.281, 0.000000
09:43, 1.210, 0.000000
09:44, 1.140, 0.000000
09:45, 1.069, 0.000000
09:46, 0.999, 0.000000
09:47, 0.928, 0.000000
09:48, 0.857, 0.000000
09:49, 0.787, 0.000000
09:50, 0.716, 0.000000
09:51, 0.645, 0.000000
09:52, 0.575, 0.000000
09:53, 0.504, 0.000000
09:54, 0.434, 0.000000
09:55, 0.363, 0.000000
09:56, 0.292, 0.000000
09:57, 0.222, 0.000000
09:58, 0.151, -0.000000
09:59, 0.000, 0.000000
