P_sub1_max: 1393000.0 W, P_sub2_max: 1393000 W
Braking Efficiency: 0.0%
Time(s), Velocity(km/h), Power (MW)
00:00, 0.000, 0.000000
00:01, 0.129, 0.000376
00:02, 0.256, 0.000741
00:03, 0.381, 0.001094
00:04, 0.504, 0.001437
00:05, 0.626, 0.001769
00:06, 0.746, 0.002090
00:07, 0.865, 0.002401
00:08, 0.982, 0.002701
00:09, 1.097, 0.002991
00:10, 1.210, 0.003271
00:11, 1.322, 0.003542
00:12, 1.432, 0.003803
00:13, 1.541, 0.004054
00:14, 1.648, 0.004297
00:15, 1.753, 0.004530
00:16, 1.857, 0.004755
00:17, 1.959, 0.004971
00:18, 2.060, 0.005179
00:19, 2.159, 0.005378
00:20, 2.256, 0.005570
00:21, 2.352, 0.005754
00:22, 2.447, 0.005930
00:23, 2.540, 0.006100
00:24, 2.631, 0.006262
00:25, 2.721, 0.006417
00:26, 2.810, 0.006565
00:27, 2.897, 0.006707
00:28, 2.982, 0.006843
00:29, 3.067, 0.006973
00:30, 3.149, 0.007096
00:31, 3.231, 0.007214
00:32, 3.311, 0.007326
00:33, 3.389, 0.007433
00:34, 3.467, 0.007535
00:35, 3.543, 0.007632
00:36, 3.617, 0.007723
00:37, 3.691, 0.007811
00:38, 3.763, 0.007893
00:39, 3.834, 0.007971
00:40, 3.904, 0.008045
00:41, 3.972, 0.008115
00:42, 4.039, 0.008181
00:43, 4.105, 0.008243
00:44, 4.170, 0.008302
00:45, 4.234, 0.008357
00:46, 4.296, 0.008409
00:47, 4.358, 0.008457
00:48, 4.418, 0.008503
00:49, 4.477, 0.008545
00:50, 4.535, 0.008585
00:51, 4.592, 0.008622
00:52, 4.648, 0.008656
00:53, 4.703, 0.008688
00:54, 4.757, 0.008717
00:55, 4.810, 0.008744
00:56, 4.862, 0.008769
00:57, 4.913, 0.008791
00:58, 4.963, 0.008812
00:59, 5.013, 0.008831
01:00, 5.061, 0.008848
01:01, 5.108, 0.008863
01:02, 5.155, 0.008876
01:03, 5.200, 0.008888
01:04, 5.245, 0.008898
01:05, 5.289, 0.008907
01:06, 5.332, 0.008915
01:07, 5.374, 0.008921
01:08, 5.415, 0.008926
01:09, 5.456, 0.008930
01:10, 5.496, 0.008932
01:11, 5.535, 0.008934
01:12, 5.573, 0.008934
01:13, 5.610, 0.008934
01:14, 5.647, 0.008933
01:15, 5.683, 0.008931
01:16, 5.719, 0.008928
01:17, 5.754, 0.008924
01:18, 5.788, 0.008920
01:19, 5.821, 0.008915
01:20, 5.854, 0.008909
01:21, 5.886, 0.008903
01:22, 5.917, 0.008896
01:23, 5.948, 0.008889
01:24, 5.978, 0.008881
01:25, 6.008, 0.008873
01:26, 6.037, 0.008864
01:27, 6.065, 0.008855
01:28, 6.093, 0.008845
01:29, 6.121, 0.008836
01:30, 6.147, 0.008826
01:31, 6.174, 0.008815
01:32, 6.199, 0.008805
01:33, 6.225, 0.008794
01:34, 6.249, 0.008783
01:35, 6.274, 0.008772
01:36, 6.297, 0.008760
01:37, 6.321, 0.008749
01:38, 6.343, 0.008737
01:39, 6.366, 0.008725
01:40, 6.388, 0.008714
01:41, 6.409, 0.008702
01:42, 6.430, 0.008690
01:43, 6.451, 0.008678
01:44, 6.471, 0.008665
01:45, 6.491, 0.008653
01:46, 6.510, 0.008641
01:47, 6.529, 0.008629
01:48, 6.548, 0.008617
01:49, 6.566, 0.008605
01:50, 6.584, 0.008593
01:51, 6.601, 0.008580
01:52, 6.618, 0.008568
01:53, 6.635, 0.008556
01:54, 6.652, 0.008544
01:55, 6.668, 0.008532
01:56, 6.684, 0.008521
01:57, 6.699, 0.008509
01:58, 6.714, 0.008497
01:59, 6.729, 0.008485
02:00, 6.744, 0.008474
02:01, 6.758, 0.008462
02:02, 6.772, 0.008451
02:03, 6.785, 0.008440
02:04, 6.799, 0.008429
02:05, 6.812, 0.008418
02:06, 6.825, 0.008407
02:07, 6.837, 0.008396
02:08, 6.850, 0.008385
02:09, 6.862, 0.008374
02:10, 6.873, 0.008364
02:11, 6.885, 0.008354
02:12, 6.896, 0.008343
02:13, 6.907, 0.008333
02:14, 6.918, 0.008323
02:15, 6.929, 0.008313
02:16, 6.939, 0.008303
02:17, 6.949, 0.008294
02:18, 6.959, 0.008284
02:19, 6.969, 0.008275
02:20, 6.979, 0.008266
02:21, 6.988, 0.008256
02:22, 6.997, 0.008247
02:23, 7.006, 0.008239
02:24, 7.015, 0.008230
02:25, 7.024, 0.008221
02:26, 7.032, 0.008213
02:27, 7.040, 0.008204
02:28, 7.049, 0.008196
02:29, 7.057, 0.008188
02:30, 7.064, 0.008180
02:31, 7.072, 0.008172
02:32, 7.079, 0.008164
02:33, 7.087, 0.008156
02:34, 7.094, 0.008149
02:35, 7.101, 0.008141
02:36, 7.108, 0.008134
02:37, 7.114, 0.008127
02:38, 7.121, 0.008120
02:39, 7.127, 0.008113
02:40, 7.133, 0.008106
02:41, 7.140, 0.008099
02:42, 7.146, 0.008093
02:43, 7.152, 0.008086
02:44, 7.157, 0.008080
02:45, 7.163, 0.008074
02:46, 7.169, 0.008067
02:47, 7.174, 0.008061
02:48, 7.179, 0.008055
02:49, 7.184, 0.008049
02:50, 7.189, 0.008044
02:51, 7.194, 0.008038
02:52, 7.199, 0.008032
02:53, 7.204, 0.008027
02:54, 7.209, 0.008021
02:55, 7.213, 0.008016
02:56, 7.218, 0.008011
02:57, 7.222, 0.008006
02:58, 7.226, 0.008001
02:59, 7.231, 0.007996
03:00, 7.235, 0.007991
03:01, 7.239, 0.007986
03:02, 7.243, 0.007981
03:03, 7.246, 0.007977
03:04, 7.250, 0.007972
03:05, 7.254, 0.007968
03:06, 7.258, 0.007964
03:07, 7.261, 0.007959
03:08, 7.265, 0.007955
03:09, 7.268, 0.007951
03:10, 7.271, 0.007947
03:11, 7.274, 0.007943
03:12, 7.278, 0.007939
03:13, 7.281, 0.007935
03:14, 7.284, 0.007931
03:15, 7.287, 0.007927
03:16, 7.290, 0.007924
03:17, 7.292, 0.007920
03:18, 7.295, 0.007917
03:19, 7.298, 0.007913
03:20, 7.301, 0.007910
03:21, 7.303, 0.007906
03:22, 7.306, 0.007903
03:23, 7.308, 0.007900
03:24, 7.311, 0.007897
03:25, 7.313, 0.007894
03:26, 7.315, 0.007891
03:27, 7.318, 0.007887
03:28, 7.320, 0.007885
03:29, 7.322, 0.007882
03:30, 7.324, 0.007879
03:31, 7.326, 0.007876
03:32, 7.328, 0.007873
03:33, 7.330, 0.007870
03:34, 7.332, 0.007868
03:35, 7.334, 0.007865
03:36, 7.336, 0.007862
03:37, 7.338, 0.007860
03:38, 7.339, 0.007857
03:39, 7.341, 0.007855
03:40, 7.343, 0.007852
03:41, 7.345, 0.007850
03:42, 7.346, 0.007848
03:43, 7.348, 0.007845
03:44, 7.349, 0.007843
03:45, 7.351, 0.007841
03:46, 7.352, 0.007839
03:47, 7.354, 0.007836
03:48, 7.355, 0.007834
03:49, 7.356, 0.007832
03:50, 7.358, 0.007830
