m,eta,braking_eff,max_acc,max_braking,max_p,total_time,delta_s,speed_limit_csv_path,Train_energy_consumption,max_velocity
390000,0.85,0.7,0.9,0.7,1500000,480,100,8,28.727,74.05
390000,0.85,0.7,0.9,0.7,1500000,480,100,10,39.685,94.35
390000,0.85,0.7,0.9,0.7,1500000,480,100,12,52.691,118.9
390000,0.85,0.7,0.9,0.7,2000000,360,100,8,35.361,103.94
390000,0.85,0.7,0.9,0.7,2000000,360,100,10,53.635,139.27
390000,0.85,0.7,0.9,0.7,2000000,420,100,8,32.146,85.6
390000,0.85,0.7,0.9,0.7,2000000,420,100,10,43.708,110.52
390000,0.85,0.7,0.9,0.7,2000000,420,100,12,61.489,139.51
390000,0.85,0.7,0.9,0.7,2000000,480,100,8,29.017,73.32
390000,0.85,0.7,0.9,0.7,2000000,480,100,10,39.95,91.99
390000,0.85,0.7,0.9,0.7,2000000,480,100,12,52.126,113.68
390000,0.85,0.7,0.9,0.7,2500000,360,100,8,35.403,102.04
390000,0.85,0.7,0.9,0.7,2500000,360,100,10,51.995,134.15
390000,0.85,0.7,0.9,0.7,2500000,420,100,8,32.355,84.77
390000,0.85,0.7,0.9,0.7,2500000,420,100,10,43.678,108.1
390000,0.85,0.7,0.9,0.7,2500000,420,100,12,60.314,135.41
390000,0.85,0.7,0.9,0.7,2500000,480,100,8,29.342,72.87
390000,0.85,0.7,0.9,0.7,2500000,480,100,10,40.25,90.84
390000,0.85,0.7,0.9,0.7,2500000,480,100,12,52.042,111.05
390000,0.85,0.8,0.5,0.3,1500000,420,100,8,29.914,92.11
390000,0.85,0.8,0.5,0.3,1500000,420,100,10,46.36,128.53
390000,0.85,0.8,0.5,0.3,1500000,480,100,8,27.057,75.36
390000,0.85,0.8,0.5,0.3,1500000,480,100,10,38.003,99.78
390000,0.85,0.8,0.5,0.3,1500000,480,100,12,54.463,130.45
390000,0.85,0.8,0.5,0.3,2000000,360,100,8,35.716,114.82
390000,0.85,0.8,0.5,0.3,2000000,420,100,8,29.992,89.54
390000,0.85,0.8,0.5,0.3,2000000,420,100,10,44.246,120.8
390000,0.85,0.8,0.5,0.3,2000000,480,100,8,27.385,74.48
390000,0.85,0.8,0.5,0.3,2000000,480,100,10,37.946,96.45
390000,0.85,0.8,0.5,0.3,2000000,480,100,12,52.748,123.77
390000,0.85,0.8,0.5,0.3,2500000,360,100,8,35.213,112.59
390000,0.85,0.8,0.5,0.3,2500000,420,100,8,29.97,88.9
390000,0.85,0.8,0.5,0.3,2500000,420,100,10,43.731,118.37
390000,0.85,0.8,0.5,0.3,2500000,480,100,8,27.408,74.44
390000,0.85,0.8,0.5,0.3,2500000,480,100,10,37.879,95.51
390000,0.85,0.8,0.5,0.3,2500000,480,100,12,52.246,120.63
390000,0.85,0.8,0.5,0.5,1500000,360,100,8,35.441,110.36
390000,0.85,0.8,0.5,0.5,1500000,420,100,8,30.366,87.73
390000,0.85,0.8,0.5,0.5,1500000,420,100,10,43.989,117.08
390000,0.85,0.8,0.5,0.5,1500000,480,100,8,28.44,73.44
390000,0.85,0.8,0.5,0.5,1500000,480,100,10,38.211,94.74
390000,0.85,0.8,0.5,0.5,1500000,480,100,12,52.505,121.12
390000,0.85,0.8,0.5,0.5,2000000,360,100,8,34.813,106.1
390000,0.85,0.8,0.5,0.5,2000000,420,100,8,30.677,85.74
390000,0.85,0.8,0.5,0.5,2000000,420,100,10,43.247,112.25
390000,0.85,0.8,0.5,0.5,2000000,420,100,12,62.697,140.0
390000,0.85,0.8,0.5,0.5,2000000,480,100,8,28.739,72.75
390000,0.85,0.8,0.5,0.5,2000000,480,100,10,38.29,92.22
390000,0.85,0.8,0.5,0.5,2000000,480,100,12,51.717,115.0
390000,0.85,0.8,0.5,0.5,2500000,360,100,8,34.601,104.66
390000,0.85,0.8,0.5,0.5,2500000,360,100,10,53.137,140.0
390000,0.85,0.8,0.5,0.5,2500000,420,100,8,30.708,85.36
390000,0.85,0.8,0.5,0.5,2500000,420,100,10,42.986,110.31
390000,0.85,0.8,0.5,0.5,2500000,420,100,12,60.998,140.0
390000,0.85,0.8,0.5,0.5,2500000,480,100,8,28.76,72.71
390000,0.85,0.8,0.5,0.5,2500000,480,100,10,38.262,91.57
390000,0.85,0.8,0.5,0.5,2500000,480,100,12,51.422,112.89
390000,0.85,0.8,0.5,0.7,1500000,360,100,8,35.733,107.0
390000,0.85,0.8,0.5,0.7,1500000,420,100,8,31.735,86.72
390000,0.85,0.8,0.5,0.7,1500000,420,100,10,44.205,113.9
390000,0.85,0.8,0.5,0.7,1500000,480,100,8,28.44,73.44
390000,0.85,0.8,0.5,0.7,1500000,480,100,10,39.856,93.2
390000,0.85,0.8,0.5,0.7,1500000,480,100,12,52.703,117.64
390000,0.85,0.8,0.5,0.7,2000000,360,100,8,35.393,103.4
390000,0.85,0.8,0.5,0.7,2000000,360,100,10,53.637,139.19
390000,0.85,0.8,0.5,0.7,2000000,420,100,8,31.79,84.96
390000,0.85,0.8,0.5,0.7,2000000,420,100,10,43.735,109.38
390000,0.85,0.8,0.5,0.7,2000000,420,100,12,61.494,139.19
390000,0.85,0.8,0.5,0.7,2000000,480,100,8,28.739,72.75
390000,0.85,0.8,0.5,0.7,2000000,480,100,10,39.844,91.03
390000,0.85,0.8,0.5,0.7,2000000,480,100,12,52.143,112.23
390000,0.85,0.8,0.5,0.7,2500000,360,100,8,35.338,102.18
390000,0.85,0.8,0.5,0.7,2500000,360,100,10,52.134,135.2
390000,0.85,0.8,0.5,0.7,2500000,420,100,8,31.776,84.65
390000,0.85,0.8,0.5,0.7,2500000,420,100,10,43.542,107.66
390000,0.85,0.8,0.5,0.7,2500000,420,100,12,60.396,135.37
390000,0.85,0.8,0.5,0.7,2500000,480,100,8,28.76,72.71
390000,0.85,0.8,0.5,0.7,2500000,480,100,10,39.785,90.49
390000,0.85,0.8,0.5,0.7,2500000,480,100,12,51.913,110.42
