Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3,Profile_iter_4,Profile_iter_5,Profile_iter_6,Profile_iter_7,Profile_iter_8,Profile_iter_9,Profile_iter_10,Profile_iter_11,Profile_iter_12,Profile_iter_13,Profile_iter_14,Profile_iter_15,Profile_iter_16,Profile_iter_17,Profile_iter_18,Profile_iter_19,Profile_iter_20,Profile_iter_21,Profile_iter_22,Profile_iter_23,Profile_iter_24,Profile_iter_25,Profile_iter_26,Profile_iter_27,Profile_iter_28,Profile_iter_29,Profile_iter_30,Profile_iter_31,Profile_iter_32,Profile_iter_33,Profile_iter_34,Profile_iter_35,Profile_iter_36,Profile_iter_37,Profile_iter_38,Profile_iter_39,Profile_iter_40,Profile_iter_41,Profile_iter_42,Profile_iter_43,Profile_iter_44,Profile_iter_45,Profile_iter_46,Profile_iter_47,Profile_iter_48,Profile_iter_49,Profile_iter_50,Profile_iter_51,Profile_iter_52,Profile_iter_53,Profile_iter_54,Profile_iter_55
0,0.49192786529116617,0.4939838124282725,0.5080274012718974,0.4999297619011439,0.49883749153062296,0.49705314132762124,0.5048633149841097,0.4988158919246992,0.49742833962239397,0.5093249284514505,0.49174281589059093,0.5113626712214155,0.49838042796373233,0.5111178425599048,0.4947996495095145,0.5052943404319401,0.49289665615874545,0.49984398823564513,0.5033851250543502,0.49254163338317847,0.5049729771203242,0.5114282594017466,0.5013451495530336,0.5045061024457671,0.5078840056533604,0.5062365326106546,0.4932610199070361,0.49535650490000366,0.5053408851736776,0.5053858012068223,0.4931268632631094,0.5042008236281205,0.5005077558083278,0.5086902012991865,0.4982620297108311,0.503746311639852,0.49886638799048355,0.5039252208504075,0.49931342464117867,0.5090839130495005,0.49439025246136326,0.4919331719437277,0.49378103351380465,0.49341515500653466,0.49349988231638653,0.505646794519689,0.49435304435777006,0.4968659091591665,0.5045264174250348,0.49195069333473174,0.5040220306966724,0.503607364333752,0.4966569703948762,0.49441799304775835,0.5015743747405195,0.5036796731984106
1,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5036990643513837
2,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5058372892645057
3,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5079755344024756
4,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5101138062467296
5,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5122521112771176
6,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5143904559714951
7,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.5165288468053166
8,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5186672902512279
9,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5208057927786589
