Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3,Profile_iter_4,Profile_iter_5,Profile_iter_6,Profile_iter_7,Profile_iter_8,Profile_iter_9,Profile_iter_10,Profile_iter_11,Profile_iter_12,Profile_iter_13,Profile_iter_14,Profile_iter_15,Profile_iter_16,Profile_iter_17,Profile_iter_18,Profile_iter_19,Profile_iter_20,Profile_iter_21,Profile_iter_22,Profile_iter_23,Profile_iter_24,Profile_iter_25,Profile_iter_26,Profile_iter_27,Profile_iter_28,Profile_iter_29,Profile_iter_30
0,0.49315428528142924,0.5060303899863394,0.5060939979461556,0.4921314834455418,0.504779433766557,0.5014600430694005,0.5035203264128318,0.5095053759133797,0.5064733606106886,0.5061373482044212,0.49486826739062706,0.5102558119267381,0.49978451386888967,0.49617835369095553,0.5094052114547823,0.5090052441451729,0.49803899171493293,0.5085405633650549,0.4999551203161294,0.5087526733088473,0.5058371424874087,0.5081470998326165,0.4987843272085901,0.4925945170531897,0.49751515242599753,0.510108792404831,0.503448974992742,0.5058088584475524,0.5061103032850263,0.510072371045371,0.5106115756745061
1,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341,0.5014148036530341
2,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065,0.5012687678678065
3,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427,0.501122752307427
4,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315,0.5009767634533315
5,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698,0.5008308077853698
6,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979,0.5006848917813979
7,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699,0.5005390219168699
8,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317,0.5003932046644317
9,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513,0.500247446493513
10,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213,0.5001017538699213
