Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3,Profile_iter_4,Profile_iter_5,Profile_iter_6,Profile_iter_7,Profile_iter_8,Profile_iter_9,Profile_iter_10,Profile_iter_11,Profile_iter_12,Profile_iter_13,Profile_iter_14,Profile_iter_15,Profile_iter_16,Profile_iter_17,Profile_iter_18,Profile_iter_19,Profile_iter_20
0,0.5081631718759868,0.4959047002460337,0.5020746502571972,0.5098496641401075,0.49465534336745354,0.5034081776776766,0.5077690726048839,0.496365342605282,0.5029473675962312,0.49798470101217873,0.5049997060508572,0.49663279463664367,0.5101036657896496,0.5082681206665066,0.5094913700261565,0.4959313305023316,0.49208121443807434,0.49289803709140745,0.5042985420444503,0.4939271084284386,0.5027358692882719
1,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751
2,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883
3,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495
4,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949
5,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742
6,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431
7,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656
8,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585
9,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808
