Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3,Profile_iter_4,Profile_iter_5,Profile_iter_6,Profile_iter_7,Profile_iter_8,Profile_iter_9,Profile_iter_10,Profile_iter_11,Profile_iter_12,Profile_iter_13,Profile_iter_14,Profile_iter_15,Profile_iter_16,Profile_iter_17,Profile_iter_18,Profile_iter_19,Profile_iter_20,Profile_iter_21,Profile_iter_22,Profile_iter_23,Profile_iter_24,Profile_iter_25,Profile_iter_26,Profile_iter_27,Profile_iter_28,Profile_iter_29,Profile_iter_30,Profile_iter_31,Profile_iter_32,Profile_iter_33,Profile_iter_34,Profile_iter_35,Profile_iter_36,Profile_iter_37,Profile_iter_38,Profile_iter_39,Profile_iter_40,Profile_iter_41,Profile_iter_42,Profile_iter_43,Profile_iter_44,Profile_iter_45,Profile_iter_46,Profile_iter_47,Profile_iter_48,Profile_iter_49,Profile_iter_50,Profile_iter_51,Profile_iter_52,Profile_iter_53,Profile_iter_54,Profile_iter_55,Profile_iter_56,Profile_iter_57,Profile_iter_58,Profile_iter_59,Profile_iter_60,Profile_iter_61,Profile_iter_62,Profile_iter_63,Profile_iter_64,Profile_iter_65,Profile_iter_66,Profile_iter_67,Profile_iter_68,Profile_iter_69,Profile_iter_70,Profile_iter_71,Profile_iter_72,Profile_iter_73,Profile_iter_74,Profile_iter_75,Profile_iter_76,Profile_iter_77,Profile_iter_78,Profile_iter_79,Profile_iter_80,Profile_iter_81,Profile_iter_82,Profile_iter_83,Profile_iter_84,Profile_iter_85,Profile_iter_86,Profile_iter_87,Profile_iter_88,Profile_iter_89,Profile_iter_90,Profile_iter_91,Profile_iter_92,Profile_iter_93,Profile_iter_94,Profile_iter_95,Profile_iter_96,Profile_iter_97,Profile_iter_98,Profile_iter_99,Profile_iter_100,Profile_iter_101,Profile_iter_102,Profile_iter_103,Profile_iter_104,Profile_iter_105,Profile_iter_106,Profile_iter_107
0,0.5113118751624365,0.5103703398474908,0.5095242340117679,0.5089549841626209,0.5103482056351234,0.49904280890765973,0.503758386155547,0.49561018286752034,0.5107891284162339,0.5105092811557157,0.5033132170334402,0.5058668429394039,0.49920125727589554,0.497149388415982,0.49555372559722827,0.5105493310178189,0.4994608868637941,0.5013905609358897,0.5017935612110854,0.4940931586757481,0.49614330211909174,0.511370568749316,0.49844035435147127,0.4969544038835124,0.5089501056512173,0.4992988682664147,0.5003288571791222,0.5032656758953331,0.5084592139305907,0.5092459770902629,0.49174540672773626,0.5059934464881649,0.49460785772695504,0.5098722135742546,0.5092662375769247,0.49604604517603723,0.4969564959811811,0.49383210899494673,0.4967706812615862,0.49188468242510663,0.4992831397502171,0.49385218293011823,0.5108373503293724,0.5109884350705176,0.5008285807448054,0.4972824647695957,0.5015387715535925,0.5030230747855452,0.49164097128054074,0.49839235516207137,0.503005842238732,0.5055204378418796,0.5010717587398651,0.5022890344197177,0.49644467685986954,0.5049988769396345,0.5062605255510624,0.5111928110564287,0.49275976799389565,0.49806479361998335,0.501668813055369,0.4925108990156828,0.5073270430232141,0.49193338923812135,0.4970547655426243,0.5082307272750828,0.5066164089384612,0.5026679646402341,0.5030125784913476,0.5110758656565209,0.5095131703875895,0.5088665119180975,0.49655080369258386,0.5095182235664162,0.5040085434268473,0.4999201951717993,0.506908771926083,0.5046171017131565,0.505761355771343,0.505267633566683,0.5086419649504587,0.5066246158307068,0.5097961531677956,0.5012934162396407,0.5028073459763245,0.4948657180041274,0.5082373391414208,0.4987043865022064,0.49869636815187246,0.5055757804742762,0.5078553203343643,0.50479974532063,0.4940138523007578,0.5032911625045468,0.5008209081325288,0.49647509663301037,0.49263162521202997,0.4974547910013204,0.4961248693227299,0.5081608873967096,0.5114470196724147,0.49362271506561806,0.5047932384942956,0.49915143663497175,0.4931681858957335,0.49899735398771317,0.49387750763569005,0.5110168740435758
1,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751,0.5038618065455751
2,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883,0.5061627736528883
3,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495,0.5084637609850495
4,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949,0.5107647750234949
5,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742,0.5130658222480742
6,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431,0.5153669091366431
7,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656,0.517668042164656
8,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585,0.5199692278047585
9,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808,0.5222704725263808
